brand,model,Engines,CC/Battery Capacity kwh,HorsePower,Top Speed km/h,Performance(0 - 100 )KM/H,prices,seats,Torque,range,type,year,quantity
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,107.8,751,250,3.4,"$102,000",5,950 Nm,335,Luxury,2025,8
AUDI,E-TRON,ELECTRIC ,95,402,200,5.5,"$75,000",5,664 Nm,295,SUV,2025,4
AUDI,E-TRON SPORTBACK,ELECTRIC,95,402,200,5.5,"$78,000",5,664 Nm,295,SUV,2025,0
TOYOTA,BZ4X,ELECTRIC,64.8,218,200,7.5,"$43,400",5,330 Nm,201,SUV,2025,9
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75,136,130,13.5,"$55,000",7,280 Nm,233,Crossover,2025,7
TOYOTA,BZ3,ELECTRIC MOTOR,65,241,160,7.5,"$35,000",5,340 Nm,202,Sedan,2025,4
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6,225,185,7.4,"$41,000",5,350 Nm,226,Crossover,2025,2
HYUNDAI,IONIQ 6 Standard,Electric Motor,53.6,320,185,5.2,"$41,450",5,350 Nm,167,Sedan,2024,6
HYUNDAI,IONIQ 6 Long Range,Electric Motor,77.4,320,185,5.2,"$41,450",5,350 Nm,241,Sedan,2025,0
HYUNDAI,KONA Electric,Electric Motor,39.2,200,200,6.1,"$40,000",5,395 Nm,122,SUV,2025,2
Volkswagen,ID.4,Electric,77,201,160,7.8,"$39,735",5,310 Nm,239,SUV,2025,0
Volkswagen,ID.3,Electric,58,204,160,7.3,"$35,000",5,310 Nm,180,Hatchback,2025,0
Volkswagen,ID. Buzz,Electric,77,204,145,10.2,"$59,995",7,310 Nm,239,Crossover,2025,4
Volkswagen,ID.5,Electric,77,174,180,8.4,"$45,000",5,310 Nm,239,SUV,2025,6
Volkswagen,ID. Buzz Cargo,Electric,77,204,145,10.2,"$55,000",3,310 Nm,239,Crossover,2025,3
Volkswagen,ID.4 GTX,Electric AWD,77,299,180,6.2,"$50,000",5,460 Nm,239,SUV,2025,2
Volkswagen,ID.3 Pro,Electric,58,204,160,7.3,"$35,000",5,310 Nm,180,Hatchback,2024,5
Volkswagen,Golf Electric,Electric,35.8,136,140,10.4,"$33,000",5,290 Nm,111,Hatchback,2023,5
Volkswagen,ID.2,Electric,50,170,160,8,"$25,000",5,220 Nm,155,Compact,2025,9
Volkswagen,ID.4 Pro S,Electric,77,201,180,7.8,"$45,000",5,310 Nm,239,SUV,2025,2
Volkswagen,ID. Buzz Pro,Electric,77,204,145,10.2,"$60,000",7,310 Nm,239,Crossover,2025,5
Volkswagen,ID.3 GTX,Electric,77,299,180,6.2,"$45,000",5,310 Nm,239,Hatchback,2025,1
Volkswagen,ID. Buzz Cargo Pro,Electric,77,204,145,10.2,"$55,000",2,310 Nm,239,Crossover,2025,3
Volkswagen,Up! e-up!,Electric,32.3,83,130,11.9,"$23,000",4,210 Nm,100,Compact,2023,10
Volkswagen,ID. Buzz Cargo EV,Electric,77,204,145,10.2,"$55,000",2,310 Nm,239,Crossover,2025,5
Nissan,Ariya ,Dual Electric Motors,87,389,200,5.1,"$58,950",5,600 Nm,270,SUV,2024,8
Nissan,Ariya E-4ORCE,Dual Electric Motors,87,389,200,5.1,"$60,000",5,600 Nm,270,SUV,2025,2
Nissan,Ariya Lounge Edition,Dual Electric Motors,87,389,200,5.1,"$63,000",5,600 Nm,270,SUV,2025,8
Nissan,Ariya Premiere,Dual Electric Motors,87,389,200,5.1,"$67,000",5,600 Nm,270,SUV,2025,4
Nissan,Ariya Empower+,Dual Electric Motors,87,389,200,5.1,"$68,000",5,600 Nm,270,SUV,2025,3
Nissan,Ariya Dual Motor AWD,Dual Electric Motors,87,389,200,5.1,"$70,000",5,600 Nm,270,SUV,2024,5
